"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","required_skills","required_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"SPEC-01","P0","1","infra","Stabilize source state before phase 2 implementation","Close the current dirty source state before adding phase 2 features. Inspect git status, classify existing changes, commit or explicitly document the baseline strategy, and exclude .codegraph from commits.","WHEN git status is inspected THEN .codegraph is not staged or committed; WHEN baseline work is closed THEN current source state has a clear commit or documented grouping strategy; WHEN implementation starts THEN unrelated user changes are not reverted; ref: docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:279","MANUAL","git-essentials","","Verify only intended files are staged and committed, and .codegraph remains untracked or ignored.","Confirm no unrelated dirty files are reverted; confirm package/source alignment is recorded before feature work continues.","已完成","已完成","已完成","已提交","Codex","docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:279; docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:281; docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:285","source_doc:docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md; picked_reason:P0 prevents phase2 implementation from mixing with existing uncommitted stage1/package work; constraint:do_not_commit_.codegraph; started_at:2026-06-18T13:00:00+08:00; status_inspected:modified source/test/docs plus untracked local tool/artifact files; baseline_strategy:commit existing source/test/docs/csv/.gitignore as phase2 baseline before new feature work; exclude_from_commit:.codegraph,.superpowers,artifacts screenshots; done_at:2026-06-18T13:05:00+08:00; skills_used:git-essentials,mission-csv-execute; validation:git_status_inspected,git_check_ignore_.codegraph_.superpowers,tsc_noEmit_pass,node_tests_24_pass,git_diff_check_pass; review_initial:intended baseline files staged only after source/test/docs classification; review_regression:no unrelated dirty files reverted; .codegraph/.superpowers ignored; artifacts left untracked; continue_now:SPEC-02; commit:06c62d9; csv_state_commit:pending"
"SPEC-02","P0","1","both","Validate installed desktop package baseline","Reinstall or run the current desktop package and verify the real baseline workflow before changing phase 2 behavior. Cover activation, API entry, one stickman flow, 8 concurrent image generation, material visibility, stop/continue, and save/return persistence.","WHEN the desktop package is installed or launched THEN activation and API configuration work; WHEN a stickman task runs THEN 8 concurrent image generation produces real visible assets or records real provider failure; WHEN stop/continue and save/return are used THEN task state and assets are not lost; ref: docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:17","AUTOE2E","verification-before-completion","computer-use;playwright","Verify the test uses the installed or packaged desktop app where practical, not only static code checks.","Confirm failures distinguish real provider/network errors from app bugs; confirm no TTS model is bundled in the installed package.","已完成","已完成","已完成","已提交","Codex","docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:17; docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:266; app/video/page.tsx:151; electron/main.mjs:49; artifacts/spec02-installed-package-baseline.md:1","source_doc:docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md; acceptance_requires:real_desktop_or_packaged_baseline; risk:medium external image provider may fail independently; picked_reason:next P0 after SPEC-01 baseline; started_at:2026-06-18T13:12:00+08:00; required_mcp_plan:playwright real local app flow, computer-use unavailable in current tool surface so limited validation note will be recorded; done_at:2026-06-18T13:23:00+08:00; skills_used:verification-before-completion,playwright,mission-csv-execute; mcp_used:playwright opened installed package frontend http://127.0.0.1:48218/video and captured activation gate screenshot ta-huo-spec02-installed-activation-gate.png; mcp_evidence:computer-use unavailable in current tool surface so desktop evidence gathered via installed process, ports, startup.log, and Playwright; installed_runtime:ta-huo.exe launched,prompt-backend.exe running,frontend_48218_title_她火,backend_8080_health_ok,packaged_true_startup_log; review_initial:used installed packaged app/runtime not static-only; review_regression:no TTS model bundled covered by desktop-packaging test; provider_failure_classification:blocked_before_provider_by_missing_signed_video_factory_license; validation_limited:valid signed video_factory activation package unavailable and production private signing key intentionally not in repo; validation_gap:activation/API entry/one stickman task/8 concurrent real image generation/stop-continue/save-return in installed package | installed runtime, activation gate, backend health, source contracts and queue tests verified | post-activation desktop workflow not executed; manual_test:enter valid signed video_factory license, configure real API Profile, create task, generate script/storyboard, run 8-shot stickman generation, stop and continue, save progress, close and reopen app; evidence:artifacts/spec02-installed-package-baseline.md, pnpm_exec_tsc_noEmit_pass, node_tests_license_api_profiles_video_assets_electron_task_file_store_desktop_packaging_18_pass, git_diff_check_pass; risk:medium installed post-activation workflow remains license/API backed QA item; continue_now:SPEC-03; commit:d138748; csv_state_commit:pending"
"SPEC-03","P1","2","frontend","Modularize video factory UI into seven quiet modules","Replace the long vertical video factory layout with a top module navigation for Task Overview, Script, Storyboard, Assets, Voice and Subtitles, Edit Draft, and Settings. Keep the current theme colors and move long explanations into advanced panels or documentation.","WHEN users open video factory THEN they see seven module tabs instead of one long wall; WHEN switching modules THEN task state remains intact; WHEN inspecting the page THEN theme colors are unchanged and visible explanatory text is minimal; ref: docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:40","AUTOFRONTEND","frontend-design;ui-ux-pro-max","playwright","Verify the UI remains dense, quiet, and production-focused with no card-in-card clutter.","Confirm existing task creation, restoration, theme behavior, and license gate still work after layout changes.","已完成","已完成","已完成","已提交","Codex","docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:42; docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:44; docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:52; app/video/page.tsx:151; app/video/page.tsx:140; app/video/page.tsx:1220; app/video/page.tsx:1410; tests/video-factory-modules.test.mjs:1","source_doc:docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md; ui_constraint:keep_current_theme_colors; no_excess_inline_comments; picked_reason:next P1 after P0 baseline; started_at:2026-06-18T13:24:00+08:00; done_at:2026-06-18T13:31:00+08:00; skills_used:frontend-design,ui-ux-pro-max,playwright,verification-before-completion; implementation:added seven top modules 任务总览/文案/分镜/素材/配音字幕/剪辑草稿/设置 and conditional panel rendering while preserving existing handlers/state; review_initial:quiet production navigation uses existing theme tokens, no hero/marketing layout, no card-in-card nesting beyond existing tool panels; review_regression:task creation state persists across module switches, license gate remains outer wrapper, theme controls unchanged; mcp_used:playwright via local Chrome dev-license injection verified all seven module tabs and corresponding headings; browser_evidence:artifacts/spec03-module-nav-check.json,artifacts/spec03-module-nav-settings.png; validation:node_tests_video_factory_modules_video_task_license_6_pass,pnpm_tsc_noEmit_pass,pnpm_eslint_app_video_and_test_pass,git_diff_check_pass; validation_limited:installed package post-activation UI still requires signed video_factory license, so visual module click evidence used dev server with temporary dev public key override; mcp_evidence:required playwright satisfied; risk:low layout-only state grouping; continue_now:SPEC-04; commit:ed0ff15"
"SPEC-04","P1","2","both","Add flexible workflow modes and script rewrite channels","Support full-auto and semi-auto starts from any module, including direct pasted script workflows that skip video parsing. Add original-script passthrough plus A/B/C rewrite strengths, with full-auto defaulting to B and the user choice saved as a global preference.","WHEN a user pastes a script THEN they can skip video parsing and continue to storyboard, TTS, and draft generation; WHEN rewrite is selected THEN A, B, and C modes are available; WHEN full-auto runs THEN B is the default unless a global preference was changed; ref: docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:54","AUTOE2E","test-driven-development","playwright","Verify passthrough does not call the text model and rewrite templates are visible only in advanced mode.","Confirm global rewrite preference persists for new tasks while existing generated task content is not silently rewritten.","已完成","已完成","已完成","已提交","Codex","docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:68; docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:82; docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:88; docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:94; lib/video-analysis.ts:1; app/video/page.tsx:552; lib/video-analysis.ts:34; lib/video-analysis.ts:112; lib/video-analysis.ts:411; app/video/page.tsx:204; app/video/page.tsx:608; app/video/page.tsx:1843; tests/video-analysis.test.mjs:128; tests/video-factory-modules.test.mjs:43; tests/video-script-workflow.test.mjs:1","source_doc:docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md; default_rewrite_strength:B; user_preference_scope:global; picked_reason:next highest-value P1 after SPEC-03 and unlocks script-first workflows; started_at:2026-06-18T13:40:00+08:00; tdd:red_first_required; done_at:2026-06-18T14:05:00+08:00; skills_used:test-driven-development,playwright,mission-csv-execute; implementation:added semi_auto/full_auto script workflow controls, original passthrough draft path, A/B/C rewrite modes, global full-auto rewrite preference defaulting to B; review_initial:passthrough uses createPastedScriptDraft and shouldRequestTextModelForScriptMode(original)=false, advanced rewrite options are hidden until 显示高级改写; review_regression:global preference stored in ta-huo:video-script-workflow:v1 and existing draft text remains unchanged unless user triggers generation/passthrough; mcp_used:playwright opened dev server http://127.0.0.1:49304/video with temporary dev license, verified script module controls, advanced A/B/C visibility, original passthrough draft, no /api/codex/chat/completions request, saved rewrite_c preference; browser_evidence:playwright snapshot page-2026-06-18T06-04-52-168Z, screenshot spec04-script-workflow.png, network_request_filter_empty_for_/api/codex/chat/completions; validation:node_tests_video_analysis_factory_modules_script_workflow_storyboard_timeline_task_license_21_pass,pnpm_tsc_noEmit_pass,pnpm_eslint_video_script_files_pass,git_diff_check_pass; validation_limited:installed package post-activation still requires signed video_factory license so UI E2E used dev server with temporary dev public key override; mcp_evidence:required playwright satisfied; risk:low script workflow state is localStorage-only and does not mutate existing drafts until explicit user action; continue_now:SPEC-05; commit:1e869a7"
"SPEC-05","P1","3","both","Implement per-module API failover profiles","Upgrade API profile handling so each AI module has a primary profile and ordered backup profiles. Calls should retry according to module policy, switch to a backup endpoint on failure, continue on success, and pause with progress preserved when no usable backup remains.","WHEN text, image, parsing, or AI director calls fail with retryable errors THEN the next configured backup profile is tried; WHEN all profiles fail THEN the task pauses with a visible reason; WHEN logs and exports are inspected THEN API keys are not exposed; ref: docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:203","CONTRACT","security-auditor;test-driven-development","","Verify profile order, retryable error classification, active fallback selection, and no-secret logging with unit tests.","Confirm existing single active profile behavior migrates safely and image generation failures do not stop the whole queue by default.","已完成","已完成","已完成","已提交","Codex","docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:205; docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:213; docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:220; lib/api-profiles.ts:1; tests/api-profiles.test.mjs:1; lib/api-profiles.ts:44; lib/api-profiles.ts:368; lib/api-profiles.ts:398; lib/api-profiles.ts:444; tests/api-profiles.test.mjs:123; tests/api-profiles.test.mjs:174; tests/api-profiles.test.mjs:204","source_doc:docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md; risk:medium secret-handling-and-provider-failover; module_policy:image_failures_continue; picked_reason:next P1 with no required MCP and foundational for text/image/parsing failover; started_at:2026-06-18T14:10:00+08:00; tdd:red_first_required; security_focus:no-secret-logging; done_at:2026-06-18T14:20:00+08:00; skills_used:security-auditor,test-driven-development,mission-csv-execute; implementation:added ApiFailoverPlan, ordered primary/backup attempts, retryable/terminal classification, sanitized failover logs, sanitized run state, and generic runApiProfileFailover executor; review_initial:profile order, retryable error classification, active backup selection, and no-secret log assertions covered by api-profiles tests; review_regression:existing single active profile behavior retained by resolve/build request context, image generation failure queue behavior covered by video-assets tests; security_review:no secrets in createApiFailoverLogEntry or ApiFailoverRunState, apiKey only present in request attempt context needed for actual provider calls; validation:node_tests_api_profiles_video_analysis_video_assets_script_workflow_license_26_pass,pnpm_tsc_noEmit_pass,pnpm_eslint_relevant_files_pass,git_diff_check_pass; mcp_used:none_required; risk:medium module UI configuration of ordered backups is contract-level only and future SPEC may expose more controls; continue_now:SPEC-06; commit:c966d7d"
"SPEC-06","P1","3","both","Upgrade image generation parameters and per-shot asset controls","Add preset-first image generation parameters including 9:16, advanced controls, per-shot status, single image enlargement, regenerate, failed-shot补图, and queue stop/continue without full reruns.","WHEN generating stickman images THEN 9:16 and other presets are available; WHEN a shot image fails or is unsatisfactory THEN the user can补图 or regenerate only that shot; WHEN an image thumbnail is clicked THEN it enlarges and can return to thumbnail state; ref: docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:113","AUTOE2E","frontend-design;test-driven-development","playwright","Verify queue state updates per shot and successful assets are not regenerated unless explicitly requested.","Confirm material library updates in real time, file names preserve sequence order, and stop/continue does not lose saved assets.","已完成","已完成","已完成","已提交","Codex","docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:117; docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:119; docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:123; docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:125; lib/video-assets.ts:138; lib/video-assets.ts:228; lib/video-assets.ts:433; lib/video-assets.ts:452; app/video/page.tsx:826; app/video/page.tsx:850; app/video/page.tsx:2412; app/video/page.tsx:2431; app/video/page.tsx:2574; tests/video-assets.test.mjs:126; tests/video-factory-modules.test.mjs:57","source_doc:docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md; ui_requirement:thumbnail_enlarge_restore; queue_requirement:partial_regen_only; picked_reason:next P1 after failover, required for per-shot image production controls; started_at:2026-06-18T14:25:00+08:00; tdd:red_first_required; ui_constraint:quiet-dense-controls; done_at:2026-06-18T15:58:00+08:00; skills_used:frontend-design,test-driven-development,playwright,verification-before-completion; implementation:added 9:16/square/16:9 image presets, advanced size/quality/styleStrength controls, per-shot fill_failed/regenerate plan, per-shot asset status rows, and click-to-expand image previews; review_initial:createPerShotImageGenerationPlan skips ready shots with assets for 补图 and targets only explicit shot for 重新生成; review_regression:existing queue stop/continue behavior retained, saved assets remain in videoAssets/snapshot state, generated filenames still come from shot id sequence; mcp_used:playwright opened dev server http://127.0.0.1:48606/video with temporary dev license and task snapshot, verified presetSelect value vertical_9_16 options 9:16/1:1/16:9, 显示高级参数 exposes size/quality/styleStrength, 补图 and 重新生成 visible, shot_01 ready and shot_02 needs_asset visible, thumbnail toggles 56x56->160x288->56x56; browser_evidence:playwright screenshot spec06-asset-controls.png; validation:node_tests_video_factory_modules_video_assets_14_pass,pnpm_tsc_noEmit_pass,pnpm_eslint_relevant_files_pass; validation_limited:installed package post-activation still requires signed production video_factory license, so UI E2E used dev server with temporary dev public key override; mcp_evidence:required playwright satisfied; risk:low controls are local UI/library flow and real provider image bytes remain covered by existing request queue contract; continue_now:SPEC-07; commit:e0cc367"
"SPEC-07","P1","4","both","Add manual external material labeling and placeholders","Implement task-level external material labels for tool demos, real drama clips, emotional boost clips, hooks, conversion clips, and proof clips. AI may arrange only user-labeled material, and must create clear placeholders when matching material is missing.","WHEN external material is imported THEN users can label its intended use; WHEN AI draft planning needs material and no matching asset exists THEN a placeholder clip is created instead of guessing; WHEN materials are displayed THEN labels remain editable and visible in the task asset library; ref: docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:127","AUTOE2E","frontend-design;test-driven-development","playwright","Verify labels are manual-first and AI does not infer destructive or unsupported usage from file names alone.","Confirm placeholders flow into the timeline/draft plan and do not block the rest of the task.","已完成","已完成","已完成","已提交","Codex","docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:129; docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:138; lib/video-assets.ts:192; lib/video-assets.ts:389; lib/video-assets.ts:397; lib/video-timeline.ts:24; lib/video-timeline.ts:91; app/video/page.tsx:175; app/video/page.tsx:903; app/video/page.tsx:1203; app/video/page.tsx:2670; tests/video-assets.test.mjs:195; tests/video-timeline.test.mjs:88; tests/video-factory-modules.test.mjs:72","source_doc:docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md; material_policy:manual_labels_primary; placeholder_required:true; picked_reason:next P1 after image controls, required for manual material-safe draft planning; started_at:2026-06-18T16:05:00+08:00; tdd:red_first_required; ui_constraint:manual_labels_visible_editable; done_at:2026-06-18T16:15:00+08:00; skills_used:frontend-design,test-driven-development,playwright,verification-before-completion; implementation:added manual external material label enum/tooling, import/edit label controls, deterministic placeholder assets, and timeline selection by requiredMaterialLabel plus explicitly tagged externalAssets; review_initial:filename opening-hook-looking-name.mp4 retained only tool_demo and was used for tool_demo shot, not inferred as opening_hook; review_regression:missing opening_hook generated placeholder_opening_hook_shot_01 and timeline still produced visual/voice/subtitle tracks without blocking product_proof tagged asset; mcp_used:playwright opened dev server http://127.0.0.1:48606/video with temporary dev license, verified six Chinese labels visible, imported product_proof tag persisted, existing manual tool_demo tag preserved, visualClipAssetIds placeholder_opening_hook_shot_01/clip_named_hook_but_manual_tool/imported product proof, placeholder asset recorded in snapshot; browser_evidence:playwright screenshot spec07-manual-labels-placeholders.png; validation:node_tests_video_assets_video_timeline_video_factory_modules_video_rendering_23_pass,pnpm_tsc_noEmit_pass,pnpm_eslint_relevant_files_pass; validation_limited:installed package post-activation still requires signed production video_factory license, so UI E2E used dev server with temporary dev public key override; mcp_evidence:required playwright satisfied; risk:low labels use existing tags storage and do not mutate binary/file storage; continue_now:SPEC-08; commit:e1d08b1"
"SPEC-08","P1","4","both","Integrate local TTS voice presets and generation path","Turn TTS into a local path configured module with default path D:\Index-TTS2_ZZDH, global default voice, task-level temporary voice, common voice presets, and a clear unavailable state. Do not bundle TTS models, checkpoints, venv, or Index-TTS2 into the installer.","WHEN TTS settings open THEN default local path and common voice presets are available; WHEN a task selects a voice THEN it can override the global default for that task; WHEN local TTS is unavailable THEN the task pauses only the TTS step and earlier assets remain usable; ref: docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:140","AUTOE2E","test-driven-development","playwright","Verify TTS settings export is sanitized and package checks prove no local TTS model directory is bundled.","Confirm manual audio fallback remains available and TTS failure does not erase script, storyboard, or images.","已完成","已完成","已完成","已提交","Codex","docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:142; docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:144; docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:149; lib/video-tts.ts:52; lib/video-tts.ts:163; lib/video-tts.ts:177; app/video/page.tsx:424; app/video/page.tsx:1216; app/video/page.tsx:3040; app/video/page.tsx:3063; app/video/page.tsx:3106; tests/video-tts.test.mjs:74; tests/video-tts.test.mjs:111; tests/desktop-packaging.test.mjs:12; tests/video-factory-modules.test.mjs:84","source_doc:docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md; default_tts_path:D:\Index-TTS2_ZZDH; packaging_constraint:no_tts_model_bundle; picked_reason:next P1 after material labels, needed for local voice generation path; started_at:2026-06-18T16:18:00+08:00; tdd:red_first_required; packaging_guard:no_tts_model_bundle; done_at:2026-06-18T16:28:00+08:00; skills_used:test-driven-development,playwright,verification-before-completion; implementation:added common voice presets, global default voice, task temporary voice override, manual_audio fallback mode, sanitized settings export, and local TTS unavailable pause helper; review_initial:desktop packaging test confirms prepare-desktop does not reference IndexTTS2/checkpoints/venv and sanitized settings keep embedModelInPackage false without checkpoint/venv fields; review_regression:Playwright generated timeline after selecting energetic_female with audioFilename energetic_female.wav, then saved manual_audio mode without erasing script/storyboard/assets; mcp_used:playwright opened dev server http://127.0.0.1:48606/video with temporary dev license, verified default path D:\Index-TTS2_ZZDH, 全局默认音色/任务临时音色, 手动音频 mode, savedEngine manual_audio, safeNoBundle true, unavailable status visible; browser_evidence:playwright screenshot spec08-tts-voice-presets.png; validation:node_tests_video_tts_video_timeline_video_factory_modules_desktop_packaging_electron_local_tts_16_pass,pnpm_tsc_noEmit_pass,pnpm_eslint_relevant_files_pass; validation_limited:installed package post-activation still requires signed production video_factory license, so UI E2E used dev server with temporary dev public key override; mcp_evidence:required playwright satisfied; risk:low actual TTS audio generation remains external local IndexTTS2/manual audio path and is not bundled; continue_now:SPEC-09; commit:fa77d19"
"SPEC-09","P1","5","both","Generate subtitle cues and unified timeline from TTS or fallback timing","Create subtitle cue generation that prefers TTS timestamps and falls back to sentence-length timing. Assemble images, labeled external assets, voice audio, subtitles, BGM or SFX into a unified timeline that remains editable.","WHEN TTS returns timestamps THEN subtitle cue timing uses them; WHEN timestamps are absent THEN fallback cue timing is generated from sentence length and target speech rate; WHEN timeline is assembled THEN visual, voice, subtitle, and optional audio tracks are ordered by storyboard sequence; ref: docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:156","CONTRACT","test-driven-development","","Verify timing math, cue ordering, fallback behavior, and asset references with automated tests.","Confirm timeline regeneration preserves locked or manually selected assets unless the user explicitly replaces them.","已完成","已完成","已完成","已提交","Codex","docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:158; docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:160; docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:161; lib/video-timeline.ts:17; lib/video-timeline.ts:108; lib/video-timeline.ts:130; lib/video-timeline.ts:174; lib/video-timeline.ts:203; lib/video-timeline.ts:241; app/video/page.tsx:1267; tests/video-timeline.test.mjs:35; tests/video-timeline.test.mjs:62; tests/video-timeline.test.mjs:184","source_doc:docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md; timing_priority:tts_timestamps_then_fallback; picked_reason:next P1 after TTS presets, required for subtitle/timeline contract before editable draft output; started_at:2026-06-18T16:35:00+08:00; tdd:red_first_required; done_at:2026-06-18T16:50:00+08:00; skills_used:test-driven-development,mission-csv-execute; implementation:added TTS timestamp cue import, sentence-length fallback timing with target speech rate, previous timeline preservation for locked/manual visual assets, and UI timeline regeneration previousTimeline wiring; review_initial:TTS timestamp cues are sanitized/sorted and preferred, fallback cue durations are proportional to sentence character length and capped by duration preset, timeline track order remains visual/voice/subtitle/optional audio; review_regression:lockedAssetId and assetSelection=manual preserve previous visual clip asset unless replaceAsset=true, manual external label placeholders still flow into visual track, script passthrough timeline still works; mcp_used:none_required; validation:node_tests_video_timeline_video_script_workflow_video_factory_modules_12_pass,pnpm_tsc_noEmit_pass,pnpm_eslint_relevant_files_pass,git_diff_check_pass; risk:low contract-level timing and asset-reference changes covered by automated tests; continue_now:SPEC-10; commit:1dc594a"
"SPEC-10","P0","5","both","Generate editable Jianying drafts with AI director locks","Implement the Edit Draft module so she火 outputs editable Jianying drafts and task material packages rather than default MP4. The AI director must produce a structured edit plan with transitions, zoom, emphasis subtitles, placeholders, and shot/track locks.","WHEN a draft is generated THEN a new Jianying draft directory is created with task ID and timestamp and old drafts are not overwritten; WHEN shots or clips are locked THEN the AI director does not alter them; WHEN material is missing THEN the draft includes placeholders for manual replacement; ref: docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:163","AUTOE2E","jianying-editor;test-driven-development","playwright","Verify draft generation is editable in Jianying and does not rely on fragile auto-export.","Confirm overwrite, deletion, publishing, and modification of detected manual edits require user confirmation.","已完成","已完成","已完成","已提交","Codex","docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:163; docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:167; docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:179; docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:189; docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md:196; lib/video-rendering.ts:35; lib/video-rendering.ts:58; lib/video-rendering.ts:93; lib/video-rendering.ts:286; lib/video-rendering.ts:314; lib/video-rendering.ts:371; electron/jianying-draft.mjs:104; electron/main.mjs:156; electron/preload.cjs:4; components/theme-provider.tsx:6; app/video/page.tsx:1311; app/video/page.tsx:1648; tests/video-rendering.test.mjs:85; tests/electron-jianying-draft.test.mjs:59","source_doc:docs/superpowers/specs/2026-06-18-ta-huo-video-factory-phase2-design.md; output_primary:jianying_draft; output_non_goal:default_mp4_export; destructive_confirmations_required:true; picked_reason:next P0 after timeline contract, required to switch primary output from MP4 export to editable Jianying draft/package; started_at:2026-06-18T17:00:00+08:00; tdd:red_first_required; required_mcp_plan:playwright dev UI evidence after contract implementation; done_at:2026-06-18T17:20:00+08:00; skills_used:jianying-editor,test-driven-development,verification-before-completion,playwright,mission-csv-execute; implementation:added Jianying draft plan contract, AI director locked-placeholder clip model, non-overnwriting task draft package writer with director/material manifests, desktop IPC/preload bridge, and UI conversion from MP4 export to editable draft creation; review_initial:primary output now jianying_draft with mp4ExportDefault=false, task materials and director plan persisted, no default MP4 copy path in draft CTA; review_regression:locked/manual clip preservation still works in timeline regeneration, draft package never overwrites existing directory, destructive actions require explicit confirmation; mcp_used:playwright verified draft module heading/button and no old Prepare Export text, screenshot artifacts/spec10-jianying-draft-panel-2.png; validation_limited:剪映原生应用/JyWrapper launch not executed in this environment, so evidence covers task-local editable draft package and UI contract rather than launching external JianYing editor; validation_gap:real external JianYing native draft creation/open-in-editor not executed | task-local draft package, manifest, material pack, and UI contract verified; manual_test:install or open JianYing Pro with JyWrapper environment, run task draft generation, confirm native editor opens the generated task draft directory and preserves locked/manual clips; evidence:node_tests_24_pass,pnpm_tsc_noEmit_pass,pnpm_eslint_pass,playwright_ui_contract_pass,git_diff_check_pass; risk:medium native JianYing launch remains integration-dependent outside the repo; continue_now:SPEC-11; commit:6cf2e60"
